Year;Oblako_v_shtanah;Fleita_pozvonochnik;Chelovek;Lublyu;Pro_Eto;Lenin;Khorosho;Vo_ves'_golos
1912;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1913;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1914;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1915;0.0000000000;0.0001493747;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1916;0.0001540953;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1917;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1918;0.0003697969;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1919;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1920;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1921;0.0004994553;0.0005283855;0.0004994553;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1922;0.0004907029;0.0003890426;0.0003680272;0.0003680272;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1923;0.0002496209;0.0001760871;0.0002641306;0.0000832070;0.0006656556;0.0000000000;0.0000832070;0.0000000000
1924;0.0001137989;0.0000000000;0.0002143209;0.0000000000;0.0002275978;0.0002275978;0.0000000000;0.0000000000
1925;0.0006926781;0.0001836435;0.0001731695;0.0001731695;0.0001731695;0.0001731695;0.0000000000;0.0000000000
1926;0.0004948988;0.0000777049;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1927;0.0002695758;0.0001433257;0.0001347879;0.0001347879;0.0001347879;0.0000000000;0.0001347879;0.0000000000
1928;0.0002638267;0.0001319134;0.0001237863;0.0000000000;0.0000618931;0.0000000000;0.0000000000;0.0000000000
1929;0.0002029706;0.0001353138;0.0000000000;0.0000000000;0.0004735982;0.0001353138;0.0000676569;0.0000000000
1930;0.0003297296;0.0002043370;0.0001362247;0.0000000000;0.0000000000;0.0001446687;0.0000681123;0.0003084573
1931;0.0004528118;0.0000709243;0.0001418487;0.0000709243;0.0001418487;0.0000754686;0.0001418487;0.0002127730
1932;0.0000710696;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000754798;0.0001421393;0.0002842786
1933;0.0000000000;0.0000000000;0.0001785810;0.0000595270;0.0000595270;0.0000000000;0.0000595270;0.0000000000
1934;0.0000539075;0.0000000000;0.0000000000;0.0000000000;0.0003773523;0.0001145315;0.0000000000;0.0001221406
1935;0.0000439559;0.0000879119;0.0000000000;0.0000439559;0.0000000000;0.0001869501;0.0000000000;0.0000467375
1936;0.0003356976;0.0001438704;0.0001357937;0.0001357937;0.0000959136;0.0000959136;0.0002715875;0.0002263229
1937;0.0003732391;0.0000880895;0.0000466549;0.0000880895;0.0001399647;0.0000466549;0.0002202237;0.0001761790
1938;0.0004388436;0.0000582110;0.0001097109;0.0001097109;0.0002910548;0.0001645664;0.0002742772;0.0009300562
1939;0.0003838963;0.0000959741;0.0000479870;0.0000959741;0.0002399352;0.0001439611;0.0001439611;0.0002175440
1940;0.0008754211;0.0002188553;0.0004924244;0.0001641415;0.0005807994;0.0004924244;0.0004377106;0.0003282829
1941;0.0004062127;0.0002437277;0.0002298444;0.0000000000;0.0004874553;0.0003249702;0.0002298444;0.0008646528
1942;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0003352553;0.0009427946;0.0003592504
1943;0.0005059938;0.0000000000;0.0000000000;0.0000000000;0.0010739596;0.0002684899;0.0017709782;0.0008580126
1944;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0001698170;0.0000000000;0.0003396340;0.0000000000
1945;0.0001071743;0.0000000000;0.0000000000;0.0000000000;0.0001071743;0.0002143485;0.0001011093;0.0002280265
1946;0.0001105602;0.0002211204;0.0002211204;0.0000000000;0.0002346428;0.0001173214;0.0004422408;0.0002499269
1947;0.0003446683;0.0000811634;0.0000000000;0.0000765929;0.0001217451;0.0004978541;0.0002680753;0.0001914824
1948;0.0004842820;0.0000703182;0.0000703182;0.0000703182;0.0002235148;0.0004570683;0.0005625456;0.0003164319
1949;0.0002515802;0.0001354974;0.0000359400;0.0000338743;0.0001437601;0.0001354974;0.0002709948;0.0001913700
1950;0.0003879745;0.0000895326;0.0000895326;0.0002685977;0.0004762762;0.0006350349;0.0003282861;0.0003731177
1951;0.0002853242;0.0000597600;0.0000634054;0.0000896400;0.0001902162;0.0002219189;0.0004183199;0.0001585135
1952;0.0001469551;0.0001661360;0.0000553787;0.0001107573;0.0002492040;0.0008817305;0.0002492040;0.0004384178
1953;0.0003172563;0.0001442074;0.0000576830;0.0001633632;0.0001730489;0.0003749393;0.0002722721;0.0002450449
1954;0.0001844027;0.0000691510;0.0000461007;0.0000691510;0.0002535537;0.0001711434;0.0000922013;0.0001301424
1955;0.0004072513;0.0002961828;0.0001851142;0.0000740457;0.0002751813;0.0003931162;0.0002961828;0.0001295800
1956;0.0001864041;0.0000155337;0.0000329758;0.0000932021;0.0001398031;0.0004286857;0.0001553367;0.0001864041
1957;0.0002421793;0.0000284917;0.0000302477;0.0000569834;0.0002419814;0.0001567042;0.0001851959;0.0002421793
1958;0.0002474193;0.0000000000;0.0000117819;0.0001178187;0.0003130469;0.0003005250;0.0004712749;0.0002538602
1959;0.0001052606;0.0000000000;0.0000105261;0.0000000000;0.0001342481;0.0001342481;0.0001789430;0.0000947345
1960;0.0001149477;0.0000383159;0.0000383159;0.0000287369;0.0001119179;0.0002298954;0.0001341056;0.0000650919
1961;0.0001593832;0.0000198912;0.0000281264;0.0000843793;0.0002585860;0.0002983685;0.0002437625;0.0001694333
1962;0.0001096714;0.0000365571;0.0000485297;0.0000639750;0.0000679416;0.0000776476;0.0001370892;0.0000548357
1963;0.0001990177;0.0000682157;0.0000937966;0.0000341079;0.0003075728;0.0002171102;0.0001705393;0.0001830252
1964;0.0002040451;0.0000182652;0.0000273977;0.0000456629;0.0001369887;0.0002465796;0.0003379053;0.0000730606
1965;0.0001423019;0.0000662308;0.0000473077;0.0000444693;0.0001703077;0.0002743846;0.0002401344;0.0001920257
1966;0.0001342221;0.0001258332;0.0000335555;0.0000251666;0.0001342221;0.0001509998;0.0000671110;0.0000853165
1967;0.0002281057;0.0000826892;0.0000413446;0.0000496135;0.0002149919;0.0002149919;0.0002232608;0.0001405716
1968;0.0002540284;0.0000907940;0.0000412700;0.0000495240;0.0000963556;0.0002723821;0.0001568261;0.0002228581
1969;0.0001944491;0.0000648164;0.0000486123;0.0000486123;0.0001458368;0.0005855620;0.0001539388;0.0001701429
1970;0.0001096600;0.0000158701;0.0000079350;0.0000317401;0.0001666356;0.0004386399;0.0001825056;0.0001031554
1971;0.0000880497;0.0000374327;0.0000440249;0.0000704398;0.0001684473;0.0003257839;0.0001672944;0.0001320745
1972;0.0001570248;0.0000434628;0.0000554205;0.0000521554;0.0001293146;0.0002520843;0.0001738513;0.0001303885
1973;0.0001232781;0.0000493113;0.0000575298;0.0000657483;0.0001397152;0.0002054636;0.0001232781;0.0000739669
1974;0.0001805553;0.0000404830;0.0000323864;0.0000242898;0.0000971593;0.0001214492;0.0001052559;0.0000566763
1975;0.0000579505;0.0000496718;0.0000790742;0.0000082786;0.0000993437;0.0001493624;0.0001821300;0.0000467983
1976;0.0001968996;0.0000574291;0.0000435056;0.0000656332;0.0001131145;0.0002707370;0.0001558789;0.0001389326
1977;0.0001292912;0.0000568806;0.0000086194;0.0000243774;0.0000775747;0.0001950193;0.0001218871;0.0001950193
1978;0.0001772510;0.0000556405;0.0000397432;0.0000476918;0.0000715378;0.0001603700;0.0002464078;0.0001192296
1979;0.0001342787;0.0000758798;0.0000179038;0.0000084311;0.0000537115;0.0001096041;0.0001180352;0.0001526612
1980;0.0001505915;0.0000669296;0.0000250986;0.0000418310;0.0001243253;0.0003019329;0.0000836620;0.0000946190
1981;0.0001624601;0.0000509905;0.0000084984;0.0000169968;0.0000934825;0.0002527157;0.0001699683;0.0000679873
1982;0.0001078385;0.0000269596;0.0000000000;0.0000508052;0.0001078385;0.0001887173;0.0000931429;0.0001270130
