Year;Oblako_v_shtanah;Fleita_pozvonochnik;Chelovek;Lublyu;Pro_Eto;Lenin;Khorosho;Vo_ves'_golos
1912;0;0;0;0;0;0;0;0
1913;0;0;0;0;0;0;0;0
1914;0;0;0;0;0;0;0;0
1915;0.000178738;0.0000896248;0;0;0;0;0;0
1916;0.000178738;0.0000000000;0;0;0;0;0;0
1917;0.000300648;0.0001056771;0.0007239526;0;0;0;0;0
1918;0.000599781;0.0003797668;0.0008782391;0;0;0;0;0
1919;0.000793142;0.0005481153;0.0009374757;0;0;0;0;0
1920;0.000815902;0.0005481153;0.0009292358;0;0;0;0;0
1921;0.00111029;0.0006541118;0.0009257677;0;0;0;0;0
1922;0.001072081;0.0005639757;0.0008395294;0.000732073;0;0;0;0
1923;0.000895964;0.0003455088;0.0007731631;0.000194723;0.000632916;0;0;0
1924;0.000751942;0.0002901933;0.0007202595;6.15915E-05;0.000243967;0.000373523;0;0
1925;0.000798561;0.0003172560;0.0006567089;6.15915E-05;0.000322181;0.000232269;0;0
1926;0.000679098;0.0002810606;0.0005721153;2.69576E-05;0.00027023;0.000154159;0;0
1927;0.000740249;0.0002797045;0.0004781872;0.000140437;0.000427173;0.000271273;0.000262648;0
1928;0.000631447;0.0002240818;0.0003945047;0.000113479;0.000400215;0.000374299;0.000183246;0
1929;0.00043419;0.0001110488;0.0003732108;0.000208722;0.000399742;0.000374299;0.000266583;0
1930;0.000375593;0.0000839860;0.0004425592;0.000208722;0.000515199;0.000360919;0.000253052;0.00050786
1931;0.000209458;0.0000317672;0.0005427049;0.000217513;0.000515199;0.000405652;0.000239429;0.000360159
1932;0.000321837;0.0002183619;0.0007847867;0.000248881;0.00044081;0.000419586;0.000229454;0.000309414
1933;0.000524977;0.0002712155;0.0009973686;0.000275308;0.000521656;0.000335223;0.000394823;0.00026252
1934;0.000780931;0.0003596554;0.0011258516;0.000322689;0.000567962;0.000470902;0.000530907;0.000724822
1935;0.000876321;0.0003788502;0.0011721926;0.000418663;0.00029959;0.000487423;0.000569296;0.000770327
1936;0.001419867;0.0005035237;0.0011782214;0.000530242;0.000525177;0.000672172;0.000974178;0.000908974
1937;0.001384746;0.0003974587;0.0009693604;0.000385395;0.000601407;0.000794621;0.000979074;0.001203501
1938;0.001167392;0.0003446050;0.0007213603;0.000358969;0.00052056;0.001102818;0.001288101;0.001365902
1939;0.001012636;0.0002561652;0.0005337729;0.000216344;0.001233735;0.00128003;0.001928869;0.001682395
1940;0.000906465;0.0002369703;0.0004007405;0.00012037;0.001189719;0.001151664;0.001992369;0.001590899
1941;0.000375563;0.0000947144;0.0003074148;0;0.000985566;0.001037228;0.001607709;0.00148851
1942;0.000144746;0.0000442241;0.0003680760;0;0.000873712;0.000920459;0.001628853;0.001223243
1943;0.000229455;0.0000604568;0.0005050917;1.53186E-05;0.000898061;0.000788739;0.001210282;0.001118936
1944;0.000347474;0.0000745204;0.0006276226;3.64141E-05;0.000199506;0.000756368;0.000652461;0.00064171
1945;0.000439836;0.0001016199;0.0007062871;9.0613E-05;0.000248494;0.000832957;0.000719942;0.000713858
1946;0.000678869;0.0001437833;0.0007670491;0.000233865;0.000423784;0.001104151;0.000890723;0.000881304
1947;0.000829824;0.0001174872;0.0007912787;0.000263745;0.000414899;0.001140582;0.000896395;0.00085979
1948;0.000842109;0.0002573358;0.0007652237;0.000281654;0.000513744;0.001477142;0.000972741;0.000896932
1949;0.000740797;0.0002993408;0.0007383105;0.000293231;0.000475524;0.001442677;0.000882745;0.000671599
1950;0.000743647;0.0002906816;0.0007275392;0.000280523;0.000487292;0.001499086;0.000741034;0.00067619
1951;0.000800017;0.0004646240;0.0007091828;0.000189102;0.000378923;0.001317992;0.000761061;0.000547257
1952;0.000699549;0.0004498027;0.0006349828;0.00018097;0.000422991;0.001334809;0.000723503;0.000564074
1953;0.000707543;0.0002994198;0.0005910920;0.000196178;0.000419422;0.000946408;0.000668324;0.000505589
1954;0.00068694;0.0002433511;0.0005355643;0.000196495;0.000515757;0.000950014;0.000766994;0.000562894
1955;0.000651865;0.0002249108;0.0004874644;0.000155004;0.000466834;0.000915056;0.000882488;0.000535121
