Year;Oblako_v_shtanah;Fleita_pozvonochnik;Chelovek;Lublyu;Pro_Eto;Lenin;Khorosho;Vo_ves'_golos
1912;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1913;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1914;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1915;0.0000000000;0.0004481240;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1916;0.0001540950;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1917;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1918;0.0007395940;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1919;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1920;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1921;0.0007636480;0.0005283855;0.0007491830;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1922;0.0014956660;0.0013704485;0.0014791140;0.0028215419;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1923;0.0017063960;0.0008417427;0.0019282697;0.0006656556;0.0020066400;0.0000000000;0.0000832070;0.0000000000
1924;0.0001137990;0.0000000000;0.0002143209;0.0000000000;0.0007634001;0.0013323946;0.0000000000;0.0000000000
1925;0.0014719410;0.0005299825;0.0003463390;0.0001731695;0.0002597543;0.0005352195;0.0000000000;0.0000000000
1926;0.0005726040;0.0000777049;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1927;0.0006150830;0.0002781136;0.0001347879;0.0001347879;0.0001347879;0.0000000000;0.0005391516;0.0000000000
1928;0.0009862850;0.0005651653;0.0004992086;0.0000000000;0.0000618931;0.0000000000;0.0000000000;0.0000000000
1929;0.0003468920;0.0001353138;0.0000000000;0.0000000000;0.0011544706;0.0006261265;0.0000676569;0.0000000000
1930;0.0008746280;0.0003490057;0.0002043370;0.0000000000;0.0000000000;0.0001446687;0.0000681123;0.0007852436
1931;0.0008783580;0.0000709243;0.0001418487;0.0005673948;0.0007847121;0.0005855719;0.0006383191;0.0007995893
1932;0.0000710696;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0005151282;0.0001421393;0.0007245105
1933;0.0000000000;0.0000000000;0.0001785810;0.0004762160;0.0000595270;0.0000000000;0.0004166890;0.0000000000
1934;0.0000539075;0.0000000000;0.0000000000;0.0000000000;0.0017317555;0.0005592245;0.0000000000;0.0002299555
1935;0.0000439559;0.0000879119;0.0000000000;0.0000439559;0.0000000000;0.0003683370;0.0000000000;0.0000467375
1936;0.0014402500;0.0010038974;0.0007296178;0.0007242333;0.0004127657;0.0006552419;0.0005884396;0.0005458672
1937;0.0010867720;0.0002642684;0.0000906996;0.0001321342;0.0004042331;0.0000933098;0.0009689843;0.0004900413
1938;0.0012797710;0.0004421991;0.0004421991;0.0007131208;0.0002910548;0.0006783985;0.0010971090;0.0023115090
1939;0.0005308570;0.0000959741;0.0000479870;0.0004798704;0.0003898953;0.0006418284;0.0001919481;0.0004574792
1940;0.0027616860;0.0007112796;0.0015008360;0.0006018520;0.0011279376;0.0012920791;0.0020244113;0.0007399740
1941;0.0012646450;0.0004735721;0.0006129185;0.0000000000;0.0007939146;0.0012674866;0.0006129185;0.0020185027
1942;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0016342956;0.0025141188;0.0013020449
1943;0.0005059940;0.0000000000;0.0000000000;0.0000000000;0.0038569252;0.0015644603;0.0043009470;0.0038939752
1944;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0001698170;0.0000000000;0.0005094510;0.0000000000
1945;0.0001071740;0.0000000000;0.0000000000;0.0000000000;0.0001071743;0.0007198953;0.0001011093;0.0002280265
1946;0.0001105600;0.0002211204;0.0002211204;0.0000000000;0.0002346428;0.0006836448;0.0007186412;0.0006921677
1947;0.0004235460;0.0000811634;0.0000000000;0.0000765929;0.0001217451;0.0009756936;0.0004212612;0.0007805109
1948;0.0010960900;0.0000703182;0.0000703182;0.0001054773;0.0003641512;0.0014026053;0.0015118414;0.0015078447
1949;0.0004618110;0.0001354974;0.0002391861;0.0002709948;0.0004147549;0.0003829462;0.0008468586;0.0003607417
1950;0.0013023370;0.0002108169;0.0003321012;0.0007162607;0.0009836275;0.0020758630;0.0009550142;0.0010652568
1951;0.0008653370;0.0000896400;0.0001829254;0.0001494000;0.0001902162;0.0008658030;0.0007469998;0.0005845978
1952;0.0004849710;0.0007804063;0.0001107573;0.0001661360;0.0006159720;0.0026584903;0.0008029905;0.0009662167
1953;0.0005895280;0.0002803434;0.0001665918;0.0001633632;0.0001730489;0.0012302826;0.0010618611;0.0003811809
1954;0.0004760590;0.0000922013;0.0001166504;0.0002074530;0.0004735952;0.0006649914;0.0001383020;0.0003836961
1955;0.0015841880;0.0010805288;0.0010272833;0.0002591599;0.0004417841;0.0011703947;0.0010551511;0.0004205936
1956;0.0003630000;0.0000155337;0.0000951105;0.0001087357;0.0004105552;0.0009498851;0.0005592123;0.0006686814
1957;0.0005249400;0.0000284917;0.0001014769;0.0002421793;0.0005981273;0.0007164840;0.0005270961;0.0006737912
1958;0.0004865140;0.0000000000;0.0000117819;0.0001649462;0.0006547211;0.0012483129;0.0015552070;0.0006677057
1959;0.0003006810;0.0000000000;0.0000105261;0.0000000000;0.0002289826;0.0004902047;0.0007157720;0.0002448332
1960;0.0004699490;0.0001341056;0.0001257174;0.0000478949;0.0002747604;0.0008404094;0.0005172646;0.0001902139
1961;0.0006183930;0.0000198912;0.0000468774;0.0003750192;0.0008867432;0.0008987160;0.0006562836;0.0004612135
1962;0.0002739870;0.0000548357;0.0001399225;0.0001279499;0.0000953595;0.0003574927;0.0004295462;0.0001028737
1963;0.0005691910;0.0001449584;0.0003803794;0.0000767427;0.0005207469;0.0007274712;0.0006906841;0.0004132532
1964;0.0006603070;0.0000365303;0.0000273977;0.0000821932;0.0005269793;0.0006367794;0.0007671365;0.0002892675
1965;0.0005251250;0.0002352142;0.0002340789;0.0001778773;0.0003837605;0.0009300701;0.0008360234;0.0004143724
1966;0.0002984170;0.0001431230;0.0001268573;0.0000419444;0.0002908547;0.0004154681;0.0001593887;0.0001707416
1967;0.0007609930;0.0001916983;0.0001333115;0.0001984541;0.0007222234;0.0006450823;0.0010336150;0.0004780994
1968;0.0007760400;0.0004822714;0.0002326289;0.0002228581;0.0002779437;0.0009532673;0.0006190503;0.0007841433
1969;0.0006684090;0.0001554663;0.0000901408;0.0000972245;0.0003889427;0.0012707607;0.0007858983;0.0003727074
1970;0.0003817160;0.0000238051;0.0000158701;0.0000952203;0.0004275614;0.0015239492;0.0003967514;0.0003529548
1971;0.0002899730;0.0000638476;0.0000792447;0.0001496845;0.0003621566;0.0008883348;0.0004314435;0.0004080297
1972;0.0004388800;0.0000787772;0.0001423462;0.0001130033;0.0003031658;0.0004965790;0.0004780910;0.0004763439
1973;0.0003981600;0.0000904040;0.0001422803;0.0001397152;0.0003030498;0.0005424034;0.0002876490;0.0002371983
1974;0.0004630260;0.0000733708;0.0000409843;0.0001052559;0.0002150232;0.0003384774;0.0003238644;0.0001602477
1975;0.0002086030;0.0000584579;0.0001866965;0.0000165573;0.0002689755;0.0003759299;0.0003063096;0.0000964701
1976;0.0004709320;0.0001732812;0.0001091388;0.0000984498;0.0003018100;0.0006757138;0.0005168615;0.0004111605
1977;0.0003439010;0.0001797549;0.0000329968;0.0001056355;0.0002644682;0.0004309332;0.0003087806;0.0005562733
1978;0.0004558390;0.0001838025;0.0001520079;0.0002066646;0.0002319862;0.0004921668;0.0005881993;0.0002855430
1979;0.0003689720;0.0002044294;0.0000684904;0.0000084311;0.0001127291;0.0003123732;0.0002613638;0.0004145458
1980;0.0003776540;0.0001171268;0.0000679579;0.0000920282;0.0003167478;0.0006422368;0.0002593521;0.0002634855
1981;0.0002850070;0.0000509905;0.0000084984;0.0000424921;0.0001635784;0.0004545050;0.0002974445;0.0001335537
1982;0.0002806970;0.0001031674;0.0000000000;0.0001100780;0.0002094489;0.0004384278;0.0002878962;0.0002527122
